GEOID,label,TRACTCE10,NAME10,NAMELSAD10,INTPTLAT,INTPTLONG,long+,long-,lat+,lat-,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),relation_max_fee,relation_min_fee
17031431302.00,0.00,431302.00,4313.02,Census Tract 4313.02,41.76,-87.56,-87.56,-87.57,41.76,41.76,0.00,0.04,0.05,0.01,0.11,0.15,0.01,0.02,0.08,0.38,0.09,0.05,0.02,0.23,0.81,0.28,0.00,0.01,0.86,0.15,0.54,0.58,0.14,0.03,0.04,0.01,0.86,0.15,0.65,0.69,0.04,0.09,0.15,0.17,0.09,0.01,0.98,0.00,0.00,0.02,532.00,766.00,49.50,19756.00,37729.00,2351.00,0.00,8.80,4.60,250000.00,1851.00,875.00,820.00,4137.00,110.00,110.00,1619.00,4161.00,66.60,25.80,1205.00,739.00
17031431400.00,0.00,431400.00,4314.00,Census Tract 4314,41.76,-87.55,-87.54,-87.55,41.76,41.75,0.00,0.01,0.04,0.02,0.04,0.11,0.00,0.05,0.14,0.33,0.08,0.09,0.10,0.21,0.88,0.37,0.00,0.00,0.87,0.15,0.48,0.45,0.10,0.00,0.03,0.04,0.63,0.13,0.62,0.64,0.03,0.08,0.22,0.18,0.22,0.07,0.89,0.00,0.00,0.02,391.00,668.00,44.00,21781.00,37570.00,4108.00,0.00,8.70,4.00,82500.00,1571.00,548.00,887.00,5887.00,202.00,188.00,3140.00,6406.00,62.80,45.10,896.00,709.00
17031440101.00,1.00,440101.00,4401.01,Census Tract 4401.01,41.75,-87.60,-87.60,-87.61,41.75,41.75,0.00,0.05,0.03,0.00,0.07,0.11,0.01,0.06,0.26,0.21,0.11,0.06,0.03,0.25,0.83,0.33,0.01,0.00,0.97,0.21,0.45,0.54,0.05,0.01,0.05,0.05,0.53,0.09,0.64,0.62,0.04,0.16,0.04,0.18,0.13,0.02,0.93,0.00,0.02,0.03,404.00,634.00,49.40,21623.00,29094.00,2463.00,0.00,11.00,4.20,0.00,1375.00,0.00,783.00,3982.00,63.00,7.00,1788.00,4020.00,73.30,32.90,953.00,765.00
17031440102.00,0.00,440102.00,4401.02,Census Tract 4401.02,41.74,-87.60,-87.60,-87.60,41.74,41.74,0.00,0.02,0.06,0.05,0.20,0.05,0.01,0.05,0.08,0.38,0.06,0.02,0.03,0.17,0.83,0.38,0.00,0.02,0.84,0.12,0.53,0.43,0.10,0.06,0.00,0.01,0.74,0.09,0.57,0.67,0.02,0.10,0.20,0.11,0.11,0.07,0.91,0.00,0.00,0.03,411.00,509.00,46.30,25116.00,34149.00,2059.00,0.00,7.70,4.60,116300.00,1476.00,561.00,842.00,3431.00,86.00,63.00,1596.00,3431.00,83.20,32.90,898.00,765.00
17031440201.00,0.00,440201.00,4402.01,Census Tract 4402.01,41.75,-87.61,-87.61,-87.61,41.75,41.75,0.00,0.00,0.05,0.04,0.14,0.14,0.01,0.10,0.11,0.26,0.03,0.04,0.08,0.17,0.91,0.48,0.02,0.00,0.81,0.13,0.41,0.42,0.10,0.04,0.01,0.00,0.66,0.13,0.61,0.59,0.04,0.09,0.19,0.18,0.18,0.03,0.95,0.00,0.00,0.02,379.00,640.00,49.70,32143.00,48108.00,2938.00,15.40,5.30,4.80,171500.00,1728.00,459.00,876.00,4805.00,91.00,61.00,2304.00,4805.00,77.40,35.80,1010.00,783.00
17031440202.00,0.00,440202.00,4402.02,Census Tract 4402.02,41.74,-87.61,-87.61,-87.61,41.74,41.74,0.00,0.01,0.06,0.00,0.15,0.11,0.01,0.06,0.12,0.26,0.09,0.05,0.09,0.16,0.94,0.58,0.00,0.00,0.58,0.07,0.32,0.22,0.26,0.05,0.00,0.03,0.73,0.26,0.58,0.45,0.02,0.06,0.36,0.22,0.22,0.01,0.98,0.00,0.01,0.02,229.00,308.00,38.90,35242.00,48431.00,1809.00,1.30,4.30,4.70,154800.00,1667.00,426.00,786.00,3507.00,63.00,63.00,1636.00,3507.00,62.80,43.30,1010.00,783.00
17031440300.00,0.00,440300.00,4403.00,Census Tract 4403,41.74,-87.62,-87.62,-87.62,41.75,41.74,0.00,0.04,0.09,0.02,0.07,0.05,0.02,0.11,0.10,0.29,0.05,0.07,0.09,0.11,0.84,0.58,0.00,0.00,0.38,0.03,0.28,0.23,0.29,0.06,0.01,0.00,0.63,0.18,0.55,0.37,0.01,0.06,0.30,0.20,0.29,0.01,0.97,0.00,0.00,0.00,255.00,457.00,32.90,55259.00,58038.00,2352.00,2.60,12.60,5.60,170300.00,1323.00,598.00,1010.00,4770.00,106.00,82.00,1990.00,4775.00,93.60,48.80,1391.00,786.00
17031440600.00,0.00,440600.00,4406.00,Census Tract 4406,41.73,-87.62,-87.62,-87.62,41.74,41.73,0.00,0.02,0.02,0.00,0.11,0.08,0.01,0.05,0.17,0.35,0.01,0.08,0.09,0.13,0.88,0.71,0.00,0.00,0.13,0.04,0.12,0.15,0.37,0.11,0.00,0.00,0.54,0.20,0.50,0.42,0.02,0.01,0.31,0.16,0.24,0.00,1.00,0.00,0.00,0.00,88.00,243.00,27.30,59924.00,73866.00,854.00,1.00,0.00,6.10,145600.00,1646.00,492.00,1391.00,1980.00,51.00,51.00,776.00,1980.00,83.30,46.70,1117.00,898.00
17031440700.00,0.00,440700.00,4407.00,Census Tract 4407,41.73,-87.61,-87.61,-87.61,41.74,41.73,0.00,0.00,0.06,0.11,0.10,0.20,0.00,0.01,0.14,0.27,0.01,0.06,0.03,0.16,0.76,0.41,0.00,0.00,0.30,0.02,0.16,0.30,0.19,0.03,0.00,0.00,0.75,0.12,0.49,0.46,0.01,0.06,0.32,0.15,0.24,0.02,0.98,0.00,0.00,0.00,85.00,190.00,46.20,37500.00,52196.00,690.00,0.00,0.00,5.70,146200.00,1431.00,617.00,898.00,1513.00,231.00,231.00,646.00,1513.00,73.10,47.40,1391.00,786.00
17031440800.00,1.00,440800.00,4408.00,Census Tract 4408,41.73,-87.60,-87.60,-87.61,41.73,41.73,0.00,0.00,0.00,0.03,0.06,0.10,0.00,0.07,0.10,0.42,0.16,0.02,0.03,0.27,0.82,0.35,0.00,0.00,0.72,0.17,0.24,0.39,0.08,0.04,0.05,0.00,0.66,0.12,0.60,0.47,0.01,0.15,0.14,0.19,0.16,0.01,0.99,0.00,0.01,0.00,154.00,153.00,38.40,19833.00,27244.00,873.00,0.00,13.40,4.70,96100.00,1201.00,592.00,835.00,1553.00,12.00,12.00,686.00,1553.00,103.30,38.70,1014.00,748.00
17031440900.00,1.00,440900.00,4409.00,Census Tract 4409,41.73,-87.61,-87.61,-87.61,41.73,41.73,0.00,0.03,0.03,0.00,0.05,0.10,0.03,0.04,0.14,0.45,0.04,0.05,0.04,0.16,0.91,0.46,0.00,0.00,0.54,0.07,0.25,0.32,0.18,0.08,0.03,0.00,0.65,0.23,0.56,0.62,0.04,0.14,0.28,0.15,0.22,0.00,0.99,0.01,0.00,0.00,181.00,400.00,44.60,34050.00,48443.00,1183.00,0.00,9.60,5.60,115200.00,1250.00,542.00,922.00,2398.00,32.00,32.00,953.00,2403.00,63.60,36.60,1391.00,835.00
17031450300.00,0.00,450300.00,4503.00,Census Tract 4503,41.74,-87.58,-87.58,-87.58,41.74,41.74,0.00,0.03,0.04,0.03,0.10,0.16,0.00,0.13,0.05,0.25,0.06,0.07,0.10,0.10,0.94,0.60,0.00,0.00,0.32,0.06,0.18,0.17,0.30,0.07,0.03,0.00,0.75,0.11,0.40,0.34,0.03,0.12,0.20,0.21,0.28,0.00,0.98,0.00,0.00,0.00,235.00,417.00,40.00,45156.00,59808.00,1628.00,2.60,0.00,5.70,148100.00,1531.00,520.00,960.00,3650.00,90.00,41.00,1361.00,3650.00,72.90,45.50,1076.00,765.00
17031460100.00,0.00,460100.00,4601.00,Census Tract 4601,41.75,-87.54,-87.53,-87.54,41.75,41.75,0.00,0.06,0.05,0.04,0.06,0.15,0.00,0.07,0.15,0.28,0.10,0.03,0.04,0.13,0.84,0.39,0.00,0.00,0.60,0.07,0.39,0.40,0.13,0.07,0.03,0.03,0.73,0.08,0.63,0.60,0.06,0.08,0.19,0.16,0.14,0.13,0.79,0.00,0.00,0.22,179.00,650.00,42.40,31094.00,48531.00,1765.00,11.50,5.90,5.20,96200.00,1156.00,407.00,862.00,3130.00,321.00,253.00,1105.00,3133.00,102.50,35.30,988.00,640.00
17031460200.00,1.00,460200.00,4602.00,Census Tract 4602,41.74,-87.55,-87.54,-87.55,41.74,41.74,0.00,0.13,0.10,0.01,0.08,0.04,0.00,0.03,0.19,0.18,0.14,0.08,0.03,0.19,0.84,0.29,0.00,0.00,0.62,0.11,0.38,0.36,0.18,0.07,0.02,0.00,0.51,0.05,0.55,0.52,0.13,0.20,0.10,0.11,0.10,0.48,0.42,0.00,0.00,0.49,343.00,369.00,42.00,27925.00,44902.00,1158.00,3.50,2.30,4.90,116000.00,1435.00,460.00,709.00,2670.00,462.00,425.00,835.00,2678.00,98.10,30.90,988.00,640.00
17031460301.00,0.00,460301.00,4603.01,Census Tract 4603.01,41.74,-87.56,-87.55,-87.56,41.74,41.74,0.00,0.07,0.06,0.00,0.16,0.08,0.00,0.02,0.10,0.14,0.25,0.09,0.05,0.16,0.82,0.43,0.00,0.00,0.54,0.16,0.30,0.23,0.28,0.04,0.07,0.00,0.75,0.05,0.63,0.57,0.13,0.15,0.09,0.10,0.13,0.28,0.68,0.00,0.00,0.30,323.00,522.00,37.40,36182.00,43388.00,1387.00,6.50,0.00,5.30,122000.00,1253.00,606.00,988.00,2917.00,471.00,453.00,953.00,2917.00,96.40,28.70,926.00,640.00
17031460302.00,0.00,460302.00,4603.02,Census Tract 4603.02,41.75,-87.56,-87.55,-87.56,41.75,41.74,0.00,0.03,0.02,0.02,0.12,0.14,0.00,0.05,0.05,0.29,0.14,0.10,0.05,0.20,0.88,0.34,0.00,0.00,0.66,0.07,0.42,0.33,0.25,0.02,0.02,0.06,0.62,0.14,0.61,0.48,0.03,0.13,0.13,0.16,0.17,0.04,0.91,0.00,0.00,0.07,356.00,579.00,46.60,23345.00,33783.00,1640.00,0.00,5.10,5.20,112400.00,1191.00,527.00,853.00,3462.00,221.00,221.00,1210.00,3468.00,85.50,33.20,988.00,709.00
17031460400.00,0.00,460400.00,4604.00,Census Tract 4604,41.74,-87.56,-87.56,-87.57,41.75,41.74,0.00,0.03,0.04,0.01,0.05,0.11,0.01,0.09,0.06,0.34,0.11,0.07,0.08,0.09,0.93,0.46,0.00,0.01,0.58,0.07,0.25,0.30,0.21,0.07,0.00,0.01,0.73,0.16,0.50,0.55,0.02,0.06,0.21,0.22,0.22,0.02,0.98,0.00,0.00,0.01,190.00,504.00,42.20,39151.00,48853.00,1642.00,0.00,7.90,5.50,133600.00,1449.00,473.00,926.00,3451.00,63.00,63.00,1272.00,3458.00,74.70,42.10,1205.00,819.00
17031460500.00,1.00,460500.00,4605.00,Census Tract 4605,41.75,-87.57,-87.57,-87.58,41.75,41.74,0.00,0.03,0.04,0.01,0.12,0.07,0.01,0.03,0.16,0.18,0.24,0.04,0.07,0.07,0.97,0.64,0.00,0.00,0.46,0.06,0.17,0.27,0.25,0.07,0.00,0.00,0.58,0.18,0.52,0.44,0.00,0.06,0.22,0.17,0.27,0.00,1.00,0.00,0.00,0.01,167.00,451.00,40.60,37168.00,49469.00,2665.00,0.00,3.70,5.90,129800.00,1492.00,584.00,826.00,4816.00,52.00,52.00,2209.00,4816.00,68.70,47.30,1205.00,866.00
17031460600.00,1.00,460600.00,4606.00,Census Tract 4606,41.74,-87.56,-87.56,-87.56,41.74,41.73,0.00,0.06,0.10,0.02,0.08,0.04,0.01,0.05,0.20,0.31,0.02,0.06,0.04,0.12,0.78,0.42,0.00,0.00,0.60,0.07,0.43,0.32,0.16,0.06,0.02,0.00,0.52,0.02,0.65,0.51,0.09,0.03,0.14,0.08,0.15,0.26,0.72,0.00,0.00,0.20,81.00,149.00,42.10,36161.00,41235.00,460.00,0.00,0.00,5.40,112500.00,1467.00,587.00,819.00,1035.00,120.00,120.00,355.00,1044.00,83.80,34.10,988.00,640.00
17031460700.00,1.00,460700.00,4607.00,Census Tract 4607,41.74,-87.55,-87.55,-87.55,41.74,41.73,0.00,0.00,0.20,0.06,0.06,0.08,0.00,0.01,0.17,0.28,0.10,0.03,0.01,0.26,0.90,0.25,0.00,0.00,0.75,0.18,0.35,0.35,0.15,0.04,0.04,0.01,0.54,0.04,0.58,0.71,0.19,0.12,0.07,0.05,0.10,0.33,0.58,0.00,0.01,0.37,477.00,577.00,51.10,21306.00,34735.00,1330.00,0.00,0.00,4.90,0.00,987.00,533.00,640.00,2751.00,465.00,433.00,883.00,2775.00,59.30,24.40,988.00,355.00
17031461000.00,1.00,461000.00,4610.00,Census Tract 4610,41.73,-87.55,-87.54,-87.55,41.73,41.72,0.00,0.20,0.00,0.03,0.06,0.01,0.00,0.09,0.05,0.20,0.15,0.10,0.11,0.26,0.92,0.40,0.00,0.08,0.91,0.10,0.50,0.64,0.08,0.04,0.00,0.00,0.31,0.64,0.50,0.30,0.20,0.13,0.10,0.18,0.43,0.27,0.65,0.01,0.00,0.30,78.00,218.00,32.00,14385.00,25501.00,995.00,0.00,2.70,3.20,110900.00,1313.00,450.00,355.00,1422.00,197.00,176.00,823.00,1533.00,106.00,48.40,819.00,640.00
17031470100.00,0.00,470100.00,4701.00,Census Tract 4701,41.73,-87.60,-87.59,-87.60,41.73,41.73,0.02,0.02,0.14,0.01,0.13,0.13,0.00,0.04,0.07,0.28,0.06,0.03,0.07,0.17,0.88,0.46,0.00,0.00,0.53,0.05,0.22,0.36,0.18,0.07,0.01,0.00,0.78,0.34,0.63,0.27,0.05,0.10,0.14,0.24,0.30,0.02,0.98,0.00,0.00,0.02,32.00,238.00,46.00,24821.00,38338.00,1315.00,0.00,11.40,5.10,102900.00,1196.00,468.00,748.00,2254.00,122.00,122.00,965.00,2254.00,107.70,45.60,1049.00,835.00
17031480100.00,0.00,480100.00,4801.00,Census Tract 4801,41.74,-87.58,-87.57,-87.58,41.74,41.73,0.01,0.01,0.03,0.01,0.08,0.11,0.06,0.12,0.08,0.28,0.06,0.06,0.11,0.05,0.89,0.59,0.00,0.00,0.21,0.06,0.09,0.15,0.35,0.09,0.00,0.00,0.68,0.19,0.51,0.42,0.05,0.04,0.28,0.23,0.34,0.01,0.99,0.00,0.00,0.00,63.00,168.00,46.10,64191.00,71395.00,956.00,2.40,7.50,5.50,145400.00,1414.00,558.00,1076.00,2208.00,44.00,44.00,879.00,2208.00,84.50,50.30,1049.00,826.00
17031480200.00,0.00,480200.00,4802.00,Census Tract 4802,41.74,-87.59,-87.59,-87.59,41.74,41.73,0.00,0.04,0.03,0.00,0.12,0.11,0.01,0.07,0.19,0.26,0.04,0.03,0.09,0.07,0.92,0.55,0.00,0.00,0.52,0.10,0.21,0.27,0.15,0.02,0.00,0.02,0.52,0.26,0.45,0.45,0.00,0.10,0.29,0.29,0.33,0.00,0.98,0.00,0.00,0.00,31.00,113.00,37.10,37381.00,48585.00,631.00,3.90,6.00,5.40,144600.00,1595.00,489.00,1049.00,1143.00,16.00,8.00,516.00,1143.00,67.60,50.90,960.00,748.00
17031480300.00,0.00,480300.00,4803.00,Census Tract 4803,41.73,-87.59,-87.58,-87.59,41.73,41.73,0.00,0.00,0.05,0.00,0.07,0.10,0.00,0.04,0.02,0.28,0.19,0.01,0.26,0.09,0.85,0.47,0.00,0.05,0.47,0.10,0.19,0.33,0.21,0.06,0.00,0.00,0.50,0.22,0.51,0.38,0.01,0.06,0.32,0.24,0.30,0.01,0.97,0.01,0.00,0.03,25.00,119.00,32.20,31953.00,61697.00,649.00,1.40,5.90,5.80,149000.00,1488.00,578.00,927.00,1153.00,13.00,13.00,539.00,1159.00,59.90,49.50,1076.00,748.00
17031480400.00,0.00,480400.00,4804.00,Census Tract 4804,41.73,-87.58,-87.57,-87.58,41.73,41.73,0.00,0.02,0.05,0.02,0.08,0.17,0.01,0.09,0.14,0.26,0.07,0.00,0.09,0.05,0.93,0.60,0.00,0.00,0.14,0.03,0.15,0.15,0.23,0.16,0.03,0.00,0.60,0.17,0.41,0.36,0.10,0.02,0.28,0.26,0.30,0.03,0.96,0.00,0.00,0.01,166.00,546.00,37.00,51520.00,69453.00,2536.00,0.00,0.00,6.20,173400.00,1496.00,701.00,866.00,5662.00,91.00,91.00,2220.00,5662.00,97.90,50.60,1076.00,787.00
17031480500.00,0.00,480500.00,4805.00,Census Tract 4805,41.73,-87.56,-87.56,-87.56,41.73,41.72,0.00,0.03,0.02,0.02,0.15,0.06,0.00,0.06,0.05,0.35,0.15,0.04,0.06,0.08,0.92,0.51,0.00,0.00,0.31,0.07,0.23,0.24,0.32,0.03,0.03,0.00,0.68,0.15,0.54,0.46,0.05,0.07,0.19,0.13,0.22,0.11,0.88,0.00,0.00,0.12,102.00,355.00,46.70,39329.00,52629.00,1272.00,0.00,5.80,6.00,147900.00,1517.00,519.00,787.00,3016.00,429.00,372.00,1117.00,3016.00,86.10,40.00,1112.00,355.00
17031490300.00,0.00,490300.00,4903.00,Census Tract 4903,41.73,-87.62,-87.62,-87.62,41.73,41.72,0.00,0.00,0.04,0.00,0.05,0.12,0.03,0.05,0.13,0.34,0.12,0.06,0.06,0.09,0.93,0.57,0.00,0.00,0.36,0.03,0.32,0.18,0.33,0.06,0.03,0.00,0.62,0.18,0.49,0.38,0.05,0.04,0.33,0.22,0.22,0.01,0.96,0.00,0.00,0.02,169.00,511.00,42.40,52500.00,60876.00,971.00,0.00,11.00,5.70,135300.00,1484.00,498.00,1117.00,2430.00,231.00,223.00,868.00,2430.00,100.50,42.00,1587.00,922.00
17031490400.00,0.00,490400.00,4904.00,Census Tract 4904,41.72,-87.61,-87.61,-87.61,41.73,41.72,0.00,0.02,0.00,0.00,0.15,0.02,0.00,0.09,0.11,0.35,0.15,0.05,0.07,0.04,0.88,0.63,0.00,0.00,0.39,0.09,0.14,0.21,0.24,0.04,0.00,0.00,0.72,0.13,0.47,0.31,0.01,0.08,0.30,0.24,0.29,0.00,1.00,0.00,0.00,0.00,25.00,36.00,38.50,49881.00,58207.00,468.00,0.00,0.00,5.60,154000.00,1536.00,486.00,1014.00,839.00,26.00,26.00,360.00,839.00,63.20,48.10,1391.00,835.00
17031490500.00,0.00,490500.00,4905.00,Census Tract 4905,41.72,-87.61,-87.61,-87.62,41.72,41.72,0.00,0.03,0.03,0.00,0.09,0.09,0.01,0.08,0.11,0.40,0.04,0.04,0.08,0.08,0.88,0.65,0.00,0.00,0.33,0.09,0.23,0.13,0.26,0.11,0.00,0.00,0.62,0.10,0.51,0.50,0.02,0.06,0.40,0.19,0.22,0.04,0.93,0.00,0.01,0.01,96.00,342.00,40.40,52464.00,66272.00,837.00,3.00,5.90,5.90,163100.00,1615.00,595.00,1137.00,1898.00,100.00,84.00,729.00,2084.00,76.80,40.60,1587.00,916.00
17031490600.00,1.00,490600.00,4906.00,Census Tract 4906,41.72,-87.63,-87.62,-87.63,41.72,41.72,0.00,0.06,0.10,0.00,0.05,0.10,0.00,0.08,0.00,0.50,0.07,0.01,0.02,0.13,0.89,0.43,0.00,0.00,0.23,0.08,0.07,0.20,0.24,0.10,0.00,0.00,0.71,0.18,0.46,0.47,0.07,0.13,0.18,0.27,0.27,0.02,0.98,0.00,0.01,0.00,125.00,199.00,36.70,37127.00,49831.00,613.00,7.20,0.00,6.00,120000.00,1352.00,464.00,1587.00,1553.00,101.00,101.00,550.00,1558.00,67.00,45.00,1273.00,916.00
17031490700.00,0.00,490700.00,4907.00,Census Tract 4907,41.71,-87.63,-87.62,-87.63,41.71,41.71,0.00,0.01,0.05,0.00,0.14,0.10,0.02,0.05,0.09,0.27,0.05,0.04,0.17,0.13,0.86,0.38,0.00,0.00,0.30,0.09,0.23,0.24,0.22,0.06,0.01,0.00,0.68,0.10,0.66,0.49,0.01,0.16,0.13,0.22,0.17,0.00,1.00,0.00,0.00,0.01,75.00,591.00,43.70,37245.00,53916.00,1093.00,0.00,7.50,6.00,93800.00,1206.00,438.00,1273.00,2834.00,54.00,54.00,877.00,2834.00,85.20,38.50,1587.00,916.00
17031490800.00,0.00,490800.00,4908.00,Census Tract 4908,41.71,-87.62,-87.61,-87.62,41.71,41.71,0.00,0.05,0.00,0.03,0.14,0.06,0.05,0.08,0.15,0.22,0.12,0.04,0.06,0.12,0.89,0.50,0.00,0.00,0.32,0.03,0.26,0.16,0.31,0.07,0.00,0.00,0.67,0.08,0.52,0.58,0.02,0.09,0.20,0.17,0.22,0.01,0.98,0.01,0.00,0.00,178.00,643.00,41.50,34723.00,56673.00,1618.00,4.30,9.00,6.00,123900.00,1338.00,486.00,916.00,4110.00,35.00,35.00,1433.00,4110.00,85.80,41.40,1587.00,829.00
17031490901.00,0.00,490901.00,4909.01,Census Tract 4909.01,41.70,-87.62,-87.61,-87.62,41.70,41.69,0.00,0.00,0.07,0.02,0.18,0.23,0.04,0.00,0.05,0.26,0.03,0.02,0.09,0.10,0.86,0.50,0.00,0.02,0.64,0.14,0.32,0.39,0.15,0.07,0.03,0.00,0.66,0.14,0.59,0.60,0.04,0.10,0.13,0.18,0.18,0.00,1.00,0.00,0.00,0.02,222.00,494.00,39.90,39750.00,57047.00,1752.00,0.00,3.70,5.20,129900.00,1292.00,495.00,829.00,3744.00,68.00,19.00,1420.00,3768.00,87.90,39.10,1110.00,657.00
17031490902.00,0.00,490902.00,4909.02,Census Tract 4909.02,41.70,-87.62,-87.61,-87.62,41.71,41.70,0.00,0.00,0.14,0.01,0.07,0.08,0.01,0.08,0.11,0.26,0.07,0.09,0.08,0.12,0.93,0.61,0.00,0.03,0.40,0.06,0.31,0.25,0.28,0.07,0.03,0.00,0.63,0.23,0.43,0.45,0.02,0.11,0.21,0.23,0.26,0.01,0.99,0.00,0.01,0.01,177.00,776.00,37.50,42481.00,52120.00,2258.00,3.20,10.90,5.70,154300.00,1499.00,510.00,933.00,4999.00,222.00,205.00,1949.00,4999.00,81.80,43.80,1273.00,829.00
17031491000.00,0.00,491000.00,4910.00,Census Tract 4910,41.70,-87.63,-87.62,-87.63,41.70,41.70,0.00,0.00,0.06,0.00,0.15,0.10,0.00,0.10,0.11,0.31,0.09,0.02,0.06,0.19,0.89,0.33,0.00,0.02,0.48,0.02,0.33,0.39,0.18,0.07,0.03,0.01,0.56,0.11,0.62,0.65,0.04,0.21,0.10,0.12,0.13,0.01,0.98,0.00,0.00,0.00,301.00,1107.00,36.00,28472.00,38317.00,1741.00,5.90,8.90,5.90,86300.00,1411.00,476.00,1086.00,4579.00,58.00,40.00,1171.00,4584.00,105.40,29.10,1273.00,829.00
17031491100.00,0.00,491100.00,4911.00,Census Tract 4911,41.70,-87.64,-87.63,-87.64,41.70,41.70,0.00,0.02,0.09,0.01,0.11,0.17,0.01,0.08,0.10,0.29,0.04,0.01,0.08,0.12,0.94,0.56,0.00,0.00,0.26,0.04,0.24,0.19,0.32,0.11,0.01,0.00,0.60,0.14,0.44,0.35,0.05,0.08,0.25,0.23,0.29,0.03,0.95,0.00,0.00,0.03,230.00,572.00,43.40,43382.00,73776.00,1625.00,1.90,4.50,6.00,118000.00,1164.00,557.00,1233.00,4230.00,24.00,24.00,1440.00,4488.00,87.00,47.70,1273.00,939.00
17031491200.00,0.00,491200.00,4912.00,Census Tract 4912,41.69,-87.64,-87.63,-87.64,41.69,41.69,0.00,0.03,0.13,0.01,0.13,0.09,0.00,0.09,0.14,0.26,0.02,0.01,0.09,0.06,0.91,0.49,0.00,0.01,0.33,0.00,0.23,0.12,0.39,0.12,0.01,0.00,0.52,0.13,0.49,0.40,0.02,0.08,0.21,0.19,0.23,0.01,0.93,0.00,0.02,0.01,137.00,309.00,37.50,42400.00,59611.00,845.00,0.00,4.50,6.40,119400.00,1530.00,590.00,1181.00,2097.00,102.00,98.00,694.00,2097.00,94.20,42.70,1233.00,830.00
17031491300.00,0.00,491300.00,4913.00,Census Tract 4913,41.69,-87.63,-87.62,-87.63,41.69,41.69,0.00,0.05,0.06,0.01,0.15,0.15,0.01,0.00,0.13,0.30,0.07,0.02,0.09,0.19,0.81,0.24,0.00,0.00,0.52,0.06,0.30,0.41,0.15,0.08,0.06,0.01,0.54,0.13,0.59,0.62,0.04,0.17,0.12,0.17,0.17,0.03,0.96,0.00,0.00,0.02,190.00,418.00,48.60,25912.00,41324.00,987.00,5.00,6.70,6.00,81100.00,1119.00,538.00,1110.00,2393.00,12.00,12.00,634.00,2465.00,76.20,32.70,1181.00,657.00
17031491400.00,0.00,491400.00,4914.00,Census Tract 4914,41.69,-87.62,-87.61,-87.62,41.69,41.69,0.00,0.03,0.08,0.02,0.11,0.09,0.02,0.04,0.13,0.32,0.08,0.06,0.01,0.14,0.88,0.36,0.00,0.06,0.76,0.14,0.43,0.35,0.15,0.03,0.03,0.04,0.44,0.09,0.57,0.58,0.01,0.15,0.16,0.19,0.16,0.03,0.96,0.00,0.00,0.02,497.00,469.00,44.60,28774.00,36701.00,1563.00,15.40,14.80,5.30,120000.00,2038.00,629.00,929.00,3191.00,53.00,42.00,1130.00,3221.00,90.00,29.30,1110.00,657.00
17031500100.00,0.00,500100.00,5001.00,Census Tract 5001,41.71,-87.60,-87.59,-87.60,41.72,41.71,0.00,0.02,0.05,0.01,0.08,0.16,0.02,0.11,0.12,0.22,0.05,0.05,0.13,0.09,0.88,0.58,0.00,0.00,0.54,0.01,0.33,0.21,0.24,0.02,0.01,0.00,0.66,0.17,0.52,0.47,0.07,0.05,0.25,0.22,0.25,0.02,0.99,0.00,0.00,0.01,89.00,280.00,40.90,41570.00,45452.00,1564.00,0.00,0.00,5.50,131600.00,1287.00,432.00,929.00,3083.00,31.00,23.00,1564.00,3083.00,71.90,44.40,1137.00,748.00
